Data;Descrição;Tipo;Valor;;;;;Data;Descrição;Fornecedor;Valor
23/08/2023;Gota Adesivos e Fitas LTDA - Adesivos;CONSTRUÇÃO MATERIAL;4519,49;;;;;;;;
23/08/2023;Day Brasil S/A;CONSTRUÇÃO MATERIAL;5129;;;;;;;;
23/08/2023;AluPrime Cutiriba;CONSTRUÇÃO MATERIAL;445,91;;;;;;;;
23/08/2023;Aços Pinhais LTDA;CONSTRUÇÃO MATERIAL;2358,62;;;;;;;;
23/08/2023;NFS-e 113 Jacobovitz - Honoários Adv Graças;CONSTRUÇÃO MÃO DE OBRA;1000;;;;;;;;
28/08/2023;DAM 806 - PRIN IASD Graças;TERRENO;1845,84;;;;;;;;
12/09/2023;REC E E EM Vidigal - Legalizações Graças;TERRENO;11869,8;;;;;;;;
12/09/2023;NF-e 18294 - STILO REFRIGERAÇÃO LTDA - Instalação ;CONSTRUÇÃO MATERIAL;2148,25;;;;;;;;
10/10/2023;NFC-e 87861 Polo Parafusos - Material Graças Terre;CONSTRUÇÃO MATERIAL;85,5;;;;;;;;
10/10/2023;NFC-e 279622 Armazém Coral - Mat. Graças;CONSTRUÇÃO MATERIAL;161,1;;;;;;;;
10/10/2023;NFC-e 256382 Armazém Coral - Mat. Graças;CONSTRUÇÃO MATERIAL;114,39;;;;;;;;
17/10/2023;NFS-e 67 Pjt Construcoes/Fiscalização Obra Graças;CONSTRUÇÃO MÃO DE OBRA;72025,34;;;;;;;;
17/10/2023;"NF-e 226382 - Armazem Coral - Materia; Graças";CONSTRUÇÃO MATERIAL;834,12;;;;;;;;
17/10/2023;NFCe 7306 Lourinaldo/Material IASD Graças;CONSTRUÇÃO MATERIAL;478,8;;;;;;;;
22/11/2023;Fat 20231157866322 Compesa IASD Graças;COMPESA;207,08;;;;;;;;
14/12/2023;Pago Fatura Compesa 09/2023 - Graças;COMPESA;213,66;;;;;;;;
29/12/2023;NF 285557373 NEOENERGIA - Conta de Luz - Contº - 7;NEOENERGIA;159,72;;;;;;;;
15/04/2024;Transf. Pagto Armazem Tres T - Material p/ IASD Gr;CONSTRUÇÃO MATERIAL;2761;;;;;;;;
